Date;Location;Total Cases;Total Deaths;Total Recovered
03/01/20;DKI Jakarta;39;20;75
03/02/20;DKI Jakarta;41;20;75
03/02/20;Indonesia;2;0;0
03/02/20;Riau;1;0;1
03/03/20;DKI Jakarta;43;20;75
03/03/20;Indonesia;2;0;0
03/03/20;Jawa Barat;1;1;60
03/03/20;Riau;1;0;1
03/04/20;DKI Jakarta;45;20;75
03/04/20;Indonesia;2;0;0
03/04/20;Jawa Barat;2;1;60
03/04/20;Riau;1;0;1
03/05/20;DKI Jakarta;45;21;75
03/05/20;Indonesia;2;0;0
03/05/20;Jawa Barat;3;1;60
03/05/20;Riau;1;0;1
03/06/20;Banten;1;5;111
03/06/20;DKI Jakarta;45;21;75
03/06/20;Indonesia;4;0;0
03/06/20;Jawa Barat;4;1;60
03/06/20;Riau;1;0;1
03/07/20;Banten;1;5;111
03/07/20;DKI Jakarta;45;23;75
03/07/20;Indonesia;4;0;0
03/07/20;Jawa Barat;4;1;60
03/07/20;Riau;1;0;1
03/08/20;Banten;2;5;114
03/08/20;DKI Jakarta;45;23;75
03/08/20;Indonesia;6;0;0
03/08/20;Jawa Barat;4;1;60
03/08/20;Jawa Tengah;1;10;11
03/08/20;Riau;1;0;1
03/09/20;Banten;2;5;114
03/09/20;DKI Jakarta;45;24;75
03/09/20;Indonesia;19;0;0
03/09/20;Jawa Barat;4;1;60
03/09/20;Jawa Tengah;1;10;11
03/09/20;Riau;1;0;1
03/10/20;Banten;2;5;122
03/10/20;DKI Jakarta;45;24;75
03/10/20;Indonesia;27;0;2
03/10/20;Jawa Barat;4;1;60
03/10/20;Jawa Tengah;1;10;11
03/10/20;Riau;1;0;1
03/10/20;Sulawesi Tenggara;1;0;0
03/11/20;Bali;1;1;3
03/11/20;Banten;2;5;130
03/11/20;DKI Jakarta;45;24;75
03/11/20;Indonesia;34;1;2
03/11/20;Jawa Barat;4;2;60
03/11/20;Jawa Tengah;3;11;12
03/11/20;Riau;1;0;1
03/11/20;Sulawesi Tenggara;1;0;0
03/12/20;Bali;1;1;3
03/12/20;Banten;2;6;132
03/12/20;DKI Jakarta;47;25;79
03/12/20;Indonesia;34;1;2
03/12/20;Jawa Barat;5;2;60
03/12/20;Jawa Tengah;3;11;12
03/12/20;Riau;1;0;1
03/12/20;Sulawesi Tenggara;1;0;0
3/13/2020;Bali;1;1;3
3/13/2020;Banten;3;7;132
3/13/2020;DKI Jakarta;51;26;82
3/13/2020;Indonesia;69;4;2
3/13/2020;Jawa Barat;9;2;61
